Country,Sub-Region,Code,Year,Population,GDP PER CAPITA (USD),GDP PER CAPITA PPP (USD),Area (Km2),Transportation (Mt),Total CO2 Emission including LUCF (Mt),Total CO2 Emission excluding LUCF (Mt),Other Fuel Combustion (Mt),Manufacturing/Construction (Mt),Land-Use Change and Forestry (Mt),Industrial Processes (Mt),Energy (Mt),Electricity/Heat (Mt),Bunker Fuels (Mt),Building (Mt)
Angola,Middle Africa,AGO,0.0,0.07833480372378716,0.022615842741825175,0.08725762447627397,0.5233501687531417,0.017833109017496636,0.05967898832684825,0.03602900167317345,0.0,0.025695581014729955,0.05611536066175883,0.0035056967572304996,0.03624757522443271,0.0030171722034986357,0.0966869506423259,0.030909626140712396
Angola,Middle Africa,AGO,0.05000000000001137,0.08096402243432217,0.021125411996194388,0.09036953132612295,0.5233501687531417,0.020020188425302822,0.1003242542153048,0.035493586168432796,0.0,0.0265139116202946,0.09654908097922421,0.009640666082383875,0.03536788920467361,0.003338147969828278,0.10480054090601758,0.034442154842508094
Angola,Middle Africa,AGO,0.10000000000000853,0.08372302497954898,0.03861340293405122,0.10238904316476662,0.5233501687531417,0.024730820995962313,0.09988651102464333,0.034891243725599555,0.001152073732718894,0.029132569558101475,0.09654908097922421,0.010517090271691499,0.034736319754590156,0.003370245546461242,0.08992562542258282,0.03503090962614071
Angola,Middle Africa,AGO,0.15000000000000568,0.08664361985175303,0.044193652649592734,0.10411490304979049,0.5233501687531417,0.046096904441453555,0.10163748378728923,0.03727830451756833,0.001152073732718894,0.029950900163666125,0.09654908097922421,0.01226993865030675,0.037082149140614425,0.003915904349221634,0.054090601757944556,0.036797173977038564
Angola,Middle Africa,AGO,0.20000000000000284,0.08974947614188766,0.05796772523387401,0.11580952206957029,0.5233501687531417,0.05787348586810228,0.10275616083009079,0.03881762409369771,0.002304147465437788,0.034369885433715226,0.09654908097922421,0.013146362839614375,0.03857084855866828,0.002760391590434922,0.0878972278566599,0.0379746835443038
Angola,Middle Africa,AGO,0.25,0.09301404355498817,0.09069539587603587,0.13444533762057875,0.5233501687531417,0.04155450874831762,0.1000810635538262,0.03515895147796989,0.001152073732718894,0.028150572831423897,0.09654908097922421,0.02278702892199825,0.03437542292597103,0.0031455625100304924,0.06152805949966193,0.028554607006181922
Angola,Middle Africa,AGO,0.30000000000001137,0.09643009987299941,0.12601789530103966,0.15054595391211142,0.5233501687531417,0.055181695827725426,0.10128080415045396,0.03683212493028444,0.002304147465437788,0.032078559738134206,0.09654908097922421,0.023663453111305875,0.036022014706545764,0.0034344406997271707,0.05476673427991887,0.05652045922873123
Angola,Middle Africa,AGO,0.3500000000000085,0.10001885075744502,0.15253307368158683,0.17162714362272236,0.5233501687531417,0.06544414535666217,0.10194552529182879,0.0377467930842164,0.003456221198156682,0.03715220949263503,0.09654908097922421,0.023663453111305875,0.036924256778093564,0.0037875140426897767,0.08248816768086545,0.06711804533411833
Benin,Western Africa,BEN,0.0,0.033214961627596754,0.019886257134259337,0.03971426483484361,0.04710474033181189,0.015309555854643338,0.04349870298313879,0.0030563301728945905,0.0,0.002618657937806874,0.0637805209115153,0.0,0.0030901790950512023,0.00016048788316482107,0.0047329276538201496,0.008831321754489255
Benin,Western Africa,BEN,0.05000000000001137,0.03424267749443623,0.020157290597519868,0.0420822980609958,0.04710474033181189,0.01648721399730821,0.03706225680933853,0.0037702175125488013,0.0,0.0024549918166939444,0.05694575302214912,0.0,0.00381197275228944,0.00019258545979778524,0.004056795131845842,0.015602001766264351
